name;latitude;longitude
Seventh District Fire Dep,13398 Roddy Rd, Gonzales, 7073, LA;30.234111;-90.903938
Shreveport Fire Chie,801 Crockett St, Shreveport, 7110, LA;32.511196;-93.748038
Shreveport Fire Departmen,801 Crockett St, Shreveport, 7110, LA;32.511196;-93.748038
Sibley Fire Dep,117 SE 4th Ave, Sibley, 7107, LA;32.511196;-93.748038
Simmesport Fire Dep,388 Mission Dr, Simmesport, 7136, LA;30.987439;-91.814239
Singer Volunteer Fire Dep,9080 Highway 27, Singer, 7066, LA;30.71556;-93.39032
Sorrento Fire Dep,8096 Main St, Sorrento, 7077, LA;30.18436;-90.85926
Southeast La Search & Rescu,510 E Boston St, Covington, 7043, LA;30.475744;-90.09434
Spearsville Fire Dep,2456 Highway 3121, Spearsville, 7127, LA;32.999679;-92.598889
Spencer-West Sterlington Fir,Highway 143, Spencer, 7128, LA;32.742722;-92.131823
Spring Creek Community Vf,757 Highway 113, Glenmora, 7143, LA;30.992594;-92.598
St Amant Fire Dep,PO Box 45, St Amant, 7077, LA;30.22464;-90.86899
St John Volunteer Fire Dep,2072 Highway 1, Thibodaux, 7030, LA;29.79576;-90.82287
St John Westside Voluntee,173 E 3rd St, Edgard, 7004, LA;30.026242;-90.601897
St John's Volunteer Fire Dep,Tiger Dr, Thibodaux, 7030, LA;29.79576;-90.82287
St Landry Parish Fire Distric,887 Highway 749, Opelousas, 7057, LA;30.533728;-92.08818
St Martinville Fire Dep,230 Washington St, St Martinville, 7058, LA;30.533728;-92.08818
Sun Tenth Dist Volunteer Fir,28666 Highway 16, Sun, 7046, LA;30.1252;-91.83345
Sunset City Fire Dep,872 Napoleon Ave, Sunset, 7058, LA;30.409181;-92.071713
Thibodaux Fire Dep,800 Parish Rd, Thibodaux, 7030, LA;29.79576;-90.82287
Three Pine Fire Dep,354 Three Pine Church Rd, De Ridder, 7063, LA;30.911977;-93.284407
Tullos Fire Dep,125 Main St, Tullos, 7147, LA;31.830948;-92.332616
Tullos Volunteer Fire Dep,10187 S Main St, Tullos, 7147, LA;31.830948;-92.332616
Turkey Creek Fire Dep,1084 Cedar Ln, Ville Platte, 7058, LA;30.674564;-92.359876
Union Volunteer Fire Dep,9793 La 44, Convent, 7072, LA;30.028769;-90.708311
Urania Fire Dep,100 E Hardtner Dr, Urania, 7148, LA;31.860891;-92.291212
