;name;latitude;longitude;y;x
100;Grand Caillou Volunteer Fir,4717 Grand Caillou Rd, Houma, 7036, LA;29.621931;-90.751815;3292151.789409;-10086065.967285
101;Grand Caillou Volunteer Fir,6974 Grand Caillou Rd, Dulac, 7035, LA;29.42052;-90.699389;3269767.17228;-10080239.394071
102;Grand Chenier Fire Dep,4011 Grand Chenier Hwy, Grand Chenier, 7064, LA;29.42052;-90.699389;3269767.17228;-10080239.394071
103;Grand Coteau Fire Dep,442 E Martin Luther King Dr, Sunset, 7058, LA;30.407289;-92.069705;3379435.692171;-10232534.943995
104;Greensburg Fire Dep,Highway 37, Greensburg, 7044, LA;30.821154;-90.667471;3425432.234406;-10076692.059469001
105;Greensburg Volunteer Fire Dep,13775 Highway 37, Greensburg, 7044, LA;30.821154;-90.667471;3425432.234406;-10076692.059469001
106;Gretna City Fire Dep,501 Anson St, Gretna, 7005, LA;29.909446;-90.045028;3324105.9189939997;-10007514.366892
107;Gueydan Fire Chief's Offic,414 Main St, Gueydan, 7054, LA;30.025761;-92.509352;3337033.051779;-10281396.871928
108;Hammond Fire Dep,405 S Oak St, Hammond, 7040, LA;30.502819;-90.462012;3390052.800841;-10053857.551668
109;Hammond Fire Prevention Burea,2975 E Thomas St, Hammond, 7040, LA;30.438551;-90.538781;3382910.119589;-10062389.581559
110;Henderson Nina Fire Statio,1008 Nina Hwy, Henderson, 7051, LA;30.280659;-91.907344;3365362.160601;-10214490.304816
111;Hillsdale Fire Dep,3313 Highway 1045, Amite, 7042, LA;30.729758;-90.564646;3415274.574362;-10065264.191793999
112;Hornbeck Fire Towe,168 Powell Rd, Hornbeck, 7143, LA;31.080221;-93.256116;3454224.681719;-10364391.476124
113;Houma Fire Dep,600 Wood St, Houma, 7036, LA;29.606641;-90.72659;3290452.474099;-10083262.48601
114;Husser Fire Dep,56292 Highway 445, Husser, 7044, LA;30.692929;-90.350686;3411181.436131;-10041484.891354
115;Iberia Parish Fire Protectio,2309 Avery Island Rd, New Iberia, 7056, LA;30.00354;-91.81873;3334563.43206;-10204641.83347
116;Independence Fire Dep,113 Calhoun St, Independence, 7044, LA;30.6351;-90.49816;3404754.3789000004;-10057875.00424
117;Independence Fire Station ,100 Calhoum St, Independence, 7044, LA;30.449387;-90.178334;3384114.4217930003;-10022329.862426002
118;Indian Bayou Community Fir,4723 La Highway 700, Kaplan, 7054, LA;30.449387;-90.178334;3384114.4217930003;-10022329.862426002
119;Innis Fire Dep,8874 La Highway 418, Innis, 7074, LA;30.888359;-91.669665;3432901.330901;-10188074.898435
120;Iota Fire Departmen,210 S 1st St, Iota, 7054, LA;30.332884;-92.496298;3371166.394876;-10279946.063422
121;Iota Fire Dep,116 Duson Ave, Iota, 7054, LA;30.330478;-92.493428;3370898.994442;-10279627.094492
122;Ivan Fire District ,16038 3 Highway 157, Plain Dealing, 7106, LA;32.814484;-93.628974;3646968.937276;-10405830.541386
123;Jamestown Fire Dep,PO Box 5128, Jamestown, 7104, LA;32.997543;-93.466552;3667313.931477;-10387779.122728
124;Jeanerette City Office,1437 Main St, Jeanerette, 7054, LA;29.888489;-91.613967;3321776.778971;-10181884.678413
125;Jeanerette Fire Dep,1436 Church St, Jeanerette, 7054, LA;29.910172;-91.664228;3324186.605908;-10187470.635691999
126;Jeff Davis Fire Dep,5396 Pine Island Hwy, Jennings, 7054, LA;30.221729;-92.652679;3358812.739331;-10297326.091381
127;Jena Fire Dep,Highway 84, Jena, 7134, LA;31.60603;-92.140733;3512662.56817;-10240428.924887
128;Kaplan Fire Dep,501 N Cushing Ave, Kaplan, 7054, LA;29.99839;-92.2854;3333991.06621;-10256507.0706
129;Kinder Fire Dep,808 2nd Ave, Kinder, 7064, LA;30.474399;-92.843183;3386894.230461;-10318498.515437
130;La Place Volunteer Fire Dep,521 Hemlock St, LaPlace, 7006, LA;30.061011;-90.498458;3340950.701529;-10057908.123662
131;Labadieville Volunteer Fir,2709 Highway 1, Labadieville, 7037, LA;29.835856;-90.955903;3315927.199984;-10108748.103517001
132;Lacombe Fire Dep,60267 S 8th St, Lacombe, 7044, LA;30.310897;-89.939173;3368722.7816830003;-9995749.748047
133;Lafayette Fire Chie,300 E Vermilion St, Lafayette, 7050, LA;30.230542;-92.020811;3359792.207338;-10227100.913728999
134;Lafayette Fire Communication,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828;3359952.6920539998;-10227102.803092
135;Lafayette Fire Dep,300 E Vermilion St, Lafayette, 7050, LA;30.231986;-92.020828;3359952.6920539998;-10227102.803092
136;Lafayette Fire Preventio,142 Park Ave, Lafayette, 7050, LA;30.230583;-92.007809;3359796.764037;-10225655.884451
137;Lafayette Fire Training Ct,1307 Bertrand Dr, Lafayette, 7050, LA;30.230583;-92.007809;3359796.764037;-10225655.884451
138;Lafitte-Barataria Vol Fir,Highway 45 #493, Lafitte, 7006, LA;29.672922;-90.106215;3297818.878158;-10014314.628885001
139;Lafourche Crossing 308 Fir,691 Highway 308, Thibodaux, 7030, LA;29.79576;-90.82287;3311470.97064;-10093962.948929999
140;Lafourche Fire District 1 Vol,102 Saint Philip St, Raceland, 7039, LA;29.693939;-90.575492;3300154.686521;-10066469.605387999
141;Lafourche Fire Distric,N Leon Dr, Lockport, 7037, LA;29.64605;-90.53925;3294832.35095;-10062441.70575
142;Lake Cove Fire Dep,Lake Cove Community NW, Turkey Creek, 7058, LA;30.917099;-92.451831;3436095.465761;-10275004.045509
143;Larose Volunteer Fire Dep,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3286067.92941;-10043801.250392
144;Larose Volunteer Fire Dep,17462 W Main St, Galliano, 7035, LA;29.45453;-90.30609;3273547.0096699996;-10036528.53651
145;Lawtell Fire Dep,Airport Rd, Opelousas, 7057, LA;30.537181;-92.083495;3393871.759159;-10234067.550805
146;Le Bleu Settlement Fire Dep,6443 Highway 3059, Lake Charles, 7061, LA;30.276018;-93.129939;3364846.364502;-10350368.290521
147;Lee Road Volunteer Fire Dep,79029 Highway 437, Covington, 7043, LA;30.484321;-90.096018;3387996.951619;-10013181.344502
148;Leesville City Fire Dep,101 W Lee St, Leesville, 7144, LA;31.222614;-93.21705;3470050.097346;-10360049.71995
149;Leleux Fire Statio,5801 Highway 13, Crowley, 7052, LA;30.22119;-92.378804;3358752.83541;-10266887.897756001
150;Leonville Volunteer Fire Dep,3726 Highway 31, Leonville, 7055, LA;30.465988;-91.951062;3385959.440332;-10219349.079618
151;Little Caillou Fire Dep,4588 Highway 56, Chauvin, 7034, LA;29.533904;-90.610511;3282368.5566559997;-10070361.582029
152;Little Chapel Volunteer Fir,13007 La Highway 3093, Kaplan, 7054, LA;30.042855;-92.183265;3338932.8618449997;-10245155.888835
153;Livingston Parish Fire Prtct,29778 S Montpelier Rd, Albany, 7071, LA;30.49934;-90.582669;3389666.14826;-10067267.249991
154;Livonia Fire Dep,3496 La Highway 78, Livonia, 7075, LA;30.55908;-91.55594;3396305.59212;-10175435.61566
155;Lockport Volunteer Fire Dep,806 Crescent Ave, Lockport, 7037, LA;29.64605;-90.53925;3294832.35095;-10062441.70575
156;Loranger Volunteer Fire Dep,20032 Firehouse Rd, Loranger, 7044, LA;30.631361;-90.40759;3404338.830179;-10047809.14501
157;Loreauville Volunteer Fir,119 Bridge, Loreauville, 7055, LA;30.008963;-91.737329;3335166.138857;-10195595.007731
158;Lowery Fire Statio,460 Lowry Hwy, Lake Arthur, 7054, LA;30.08076;-92.67153;3343145.58564;-10299421.172670001
159;Luling Volunteer Fire Dep,67 Saint Anthony St, Luling, 7007, LA;29.93462;-90.364235;3326903.73218;-10042990.713665
160;Lydia Volunteer Fire Dep,7209 Weeks Island Rd, New Iberia, 7056, LA;30.00354;-91.81873;3334563.43206;-10204641.83347
161;Lyons Point Fire Departmen,2014 S La Hwy 13, Crowley, 7052, LA;30.212297;-92.3632;3357764.476283;-10265153.6848
162;Madisonville Fire Dep,402 Cedar St, Madisonville, 7044, LA;30.406279;-90.159109;3379323.4417810002;-10020193.215151
163;Mamou Fire Dep,121 Main St, Mamou, 7055, LA;30.630097;-92.423073;3404198.350483;-10271807.910147
164;Mandeville Fire Dep,3101 E Causeway Approach, Mandeville, 7044, LA;30.381477;-90.099643;3376566.972303;-10013584.223377
165;Mansura Fire Dep,1832 Leglise St, Mansura, 7135, LA;31.068576;-92.050786;3452930.468064;-10230432.305254001
166;Maringouin Fire Dep,10660 2nd St, Maringouin, 7075, LA;30.527159;-91.525086;3392757.924101;-10172006.532954
167;Marion Fire Dep,398 Main St, Marion, 7126, LA;32.905889;-92.231759;3657127.597571;-10250545.463500999
168;Marlow Volunteer Fire Dep,118 Marlow Rd, Pitkin, 7065, LA;30.961192;-93.112287;3440995.917688;-10348406.464893
169;Marrero-Harvey Volunteer Fir,531 Avenue C, Marrero, 7007, LA;29.898819;-90.104751;3322924.844841;-10014151.921388999
170;Maurepas Fire Dep,24564 Highway 22, Maurepas, 7044, LA;30.261359;-90.633179;3363217.177901;-10072880.880881
171;Maurice Volunteer Fire Dep,510 Chief H Fred Ave, Maurice, 7055, LA;30.103157;-92.127224;3345634.765823;-10238927.548136
172;Meaux Nunez Volunteer Fir,9124 Romules Rd, Abbeville, 7051, LA;29.962049;-92.136138;3329952.163811;-10239918.241182
173;Mire Volunteer Fire Dep,5248 Mire Hwy, Duson, 7052, LA;30.237218;-92.026144;3360534.171302;-10227693.618016
174;Montegut Fire Dept District ,1105 Highway 55, Montegut, 7037, LA;30.237218;-92.026144;3360534.171302;-10227693.618016
175;Montegut Fire Dep,632 Highway 665, Montegut, 7037, LA;29.476982;-90.552833;3276042.3024979997;-10063951.306787001
176;Montegut-Point-Aux-Chenes Fir,1105 Highway 55, Montegut, 7037, LA;29.476982;-90.552833;3276042.3024979997;-10063951.306787001
177;Moreauville Fire Dep,328 Main St, Moreauville, 7135, LA;31.034649;-91.976379;3449159.855211;-10222162.785681
178;Morgan City Fire Chief's Of,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3296663.92167;-10127145.72016
179;Morgan City Fire Dep,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3296663.92167;-10127145.72016
180;Municipal Training Academ,401 City Park Ave, New Orleans, 7011, LA;29.934704;-90.213447;3326913.067856;-10026232.286133
181;Natalbany Volunteer Fire Dep,15146 Fire Station Rd, Natalbany, 7045, LA;30.544702;-90.491419;3394707.635578;-10057125.816241
182;New Iberia Fire Dep,225 Prairie Ave, New Iberia, 7056, LA;30.544702;-90.491419;3394707.635578;-10057125.816241
183;New Orleans Fire Dep,1700 Moss St, New Orleans, 7011, LA;30.00354;-91.81873;3334563.43206;-10204641.83347
184;New Orleans Fire Dep,317 Decatur St, New Orleans, 7013, LA;29.95465;-90.07507;3329129.8463500002;-10010853.20473
185;New Orleans Fire Dep,701 Rosedale Dr, New Orleans, 7012, LA;29.963724;-90.072166;3330138.3216359997;-10010530.457074
186;New Orleans Fire Training Aca,13400 Old Gentilly Rd, New Orleans, 7012, LA;29.963724;-90.072166;3330138.3216359997;-10010530.457074
187;Nine Mile Point Volunteer Fir,1024 Oak Ave, Bridge City, 7009, LA;29.947782;-90.151809;3328366.543698;-10019381.900451
188;Norco Area Volunteer Fire Dep,River Rd, LaPlace, 7006, LA;30.076045;-90.528281;3342621.5652550003;-10061222.622059
189;Oak Grove Fire Dep,1523 Oak Grove Hwy, Creole, 7063, LA;29.786002;-93.113511;3310386.476278;-10348542.499029
190;Oak Grove Fire Statio,589 Stanford Rd, Oak Grove, 7126, LA;32.889722;-91.358286;3655330.813358;-10153468.547754
191;Oak Hill Fire Dep,PO Box 593, Glenmora, 7143, LA;31.106942;-92.713031;3457194.426938;-10304033.552309
192;Oak Park Fire Statio,52 Oak Park Dr, Madisonville, 7044, LA;30.433406;-90.208954;3382338.309434;-10025732.938606001
193;Oakdale Fire Dep,115 N 10th St, Oakdale, 7146, LA;30.807665;-92.645739;3423933.080435;-10296554.786721
194;Olla Fire Dep,US Highway 165, Olla, 7146, LA;31.901027;-92.229599;3545448.239753;-10250305.403260998
195;Opelousas Fire Chie,1357 S Union St, Opelousas, 7057, LA;30.485177;-92.101952;3388092.086603;-10236118.843328
196;Paincourtville Volenteer Fir,6074 Highway 1, Paincourtville, 7039, LA;29.992459;-91.055045;3333331.900801;-10119766.646255001
197;Parks Fire Dept-Offic,Bridge, St Martinville, 7058, LA;30.1252;-91.83345;3348084.6028;-10206277.79955
198;Patterson City Fire Meeting R,1306 Main St, Patterson, 7039, LA;29.680508;-91.294553;3298661.978612;-10146385.325867
199;Patterson Fire Dep,1308 Main St, Patterson, 7039, LA;29.680508;-91.294553;3298661.978612;-10146385.325867
200;Pearl River Fire Dep,37546 Pine Street Ext, Pearl River, 7045, LA;30.37535;-89.767961;3375886.0236500003;-9976721.417579
