;name;latitude;longitude;y;x
169;Marrero-Harvey Volunteer Fir,531 Avenue C, Marrero, 7007, LA;29.898819;-90.104751;3328336.53108;-8695433.593659628
170;Maurepas Fire Dep,24564 Highway 22, Maurepas, 7044, LA;30.261359;-90.633179;3368694.4838799997;-8714431.704263221
171;Maurice Volunteer Fire Dep,510 Chief H Fred Ave, Maurice, 7055, LA;30.103157;-92.127224;3351083.43724;-8872321.44932166
172;Meaux Nunez Volunteer Fir,9124 Romules Rd, Abbeville, 7051, LA;29.962049;-92.136138;3335375.29468;-8885822.25943031
173;Mire Volunteer Fire Dep,5248 Mire Hwy, Duson, 7052, LA;30.237218;-92.026144;3366007.10776;-8850540.490801848
174;Montegut Fire Dept District ,1105 Highway 55, Montegut, 7037, LA;30.237218;-92.026144;3366007.10776;-8850540.490801848
175;Montegut Fire Dep,632 Highway 665, Montegut, 7037, LA;29.476982;-90.552833;3281377.63624;-8775432.180400204
176;Montegut-Point-Aux-Chenes Fir,1105 Highway 55, Montegut, 7037, LA;29.476982;-90.552833;3281377.63624;-8775432.180400204
177;Moreauville Fire Dep,328 Main St, Moreauville, 7135, LA;31.034649;-91.976379;3454777.12668;-8773139.16170235
178;Morgan City Fire Chief's Of,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3302032.8396;-8814325.089675466
179;Morgan City Fire Dep,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3302032.8396;-8814325.089675466
180;Municipal Training Academ,401 City Park Ave, New Orleans, 7011, LA;29.934704;-90.213447;3332331.24928;-8702786.197152955
181;Natalbany Volunteer Fire Dep,15146 Fire Station Rd, Natalbany, 7045, LA;30.544702;-90.491419;3400236.22664;-8675590.607761651
182;New Iberia Fire Dep,225 Prairie Ave, New Iberia, 7056, LA;30.544702;-90.491419;3400236.22664;-8675590.607761651
183;New Orleans Fire Dep,1700 Moss St, New Orleans, 7011, LA;30.00354;-91.81873;3339994.0728;-8851511.754977398
184;New Orleans Fire Dep,317 Decatur St, New Orleans, 7013, LA;29.95465;-90.07507;3334551.6380000003;-8687694.713708967
185;New Orleans Fire Dep,701 Rosedale Dr, New Orleans, 7012, LA;29.963724;-90.072166;3335561.75568;-8686621.62743006
186;New Orleans Fire Training Aca,13400 Old Gentilly Rd, New Orleans, 7012, LA;29.963724;-90.072166;3335561.75568;-8686621.62743006
187;Nine Mile Point Volunteer Fir,1024 Oak Ave, Bridge City, 7009, LA;29.947782;-90.151809;3333787.09224;-8695696.746693064
188;Norco Area Volunteer Fire Dep,River Rd, LaPlace, 7006, LA;30.076045;-90.528281;3348065.3294;-8720725.858651532
189;Oak Grove Fire Dep,1523 Oak Grove Hwy, Creole, 7063, LA;29.786002;-93.113511;3315777.74264;-8995945.961946763
190;Oak Grove Fire Statio,589 Stanford Rd, Oak Grove, 7126, LA;32.889722;-91.358286;3661283.85304;-8539885.895586113
191;Oak Hill Fire Dep,PO Box 593, Glenmora, 7143, LA;31.106942;-92.713031;3462824.78344;-8836683.75858553
